,Stock,Stock Price,Market Cap,Volatility,Liquidity,P/E Ratio,EPS,Listing Exchange,Penny or Not
0,UEPEO,70.05000305,7153786368,0.019124389,100,13.72722,5.103,PNK,1
1,UEPCP,68.80000305,7026131456,0.010467529,0,13.482265,5.103,PNK,1
2,BLPG,0.079999998,660012,0.156878756,30001,8,0.01,PNK,1
3,AIZ,168.3000031,8850998272,0.017511278,412900,17.155962,9.81,NYQ,0
4,ADC,60.11000061,6063115264,0.01138865,732700,35.35882,1.7,NYQ,0
5,FNMAM,3.650000095,2805638400,0.036720139,10100,521.4286,0.007,PNK,1
6,RSRV,172.9900055,26960492,0.022593644,0,13.621261,12.7,PNK,1
7,AOS,76.73999786,11412772864,0.017839698,696600,38.179104,2.01,NYQ,0
8,GULTU,0.014,3130352,0.097151255,112800,1.36,0.01,PNK,1
9,CWGL,5.889999866,124292736,0.018104987,9800,42.057144,0.14,PNK,1
10,KAYS,0.0425,942344,0.104215009,1500,0.30357143,0.14,PNK,1
11,ADP,232.9400024,95809388544,0.013825727,1647700,27.697979,8.41,NMS,0
12,AOD,7.920000076,835013504,0.008657771,342565,19.8,0.4,NYQ,0
13,AFG,116.4599991,9756762112,0.014647041,408993,11.451327,10.17,NYQ,0
14,AXTA,32.18999863,7084471808,0.01821137,2128500,30.08411,1.07,NYQ,0
15,ALE,56.04999924,3221608192,0.013486389,347100,13.004641,4.31,NYQ,0
16,AVNW,31.34000015,390396128,0.027157796,67335,20.089745,1.56,NMS,0
17,HRT,13.27999973,898321664,0.031440572,225414,147.55554,0.09,NYQ,0
18,GFMH,0.00404,561418,0.088411809,2250,Infinity,0,PNK,1
19,ALG,187.4400024,2251491840,0.019731017,62400,16.780663,11.17,NYQ,0
20,PDNLA,0.029999999,132373,0.889981117,0,Infinity,0,PNK,1
21,RNVA,5.00E-05,2027565,0.265718697,1580800,0.001,0.05,PNK,1
22,PFBX,14.25,66585832,0.027750486,2400,5.2973976,2.69,PNK,1
23,HHSE,0.0056,8439928,0.114538065,98444,Infinity,0,PNK,1
24,GOOG,133.3200073,1.65885E+12,0.019485164,24258400,25.491398,5.23,NMS,0
25,FNMFO,6200,2269038848,0.034522271,1900,885714.25,0.007,PNK,1
26,UHAL,58.43999863,11054686208,0.020682705,92744,15.542553,3.76,NYQ,0
27,FNMAH,1.940000057,2761066240,0.050255527,0,277.14285,0.007,PNK,1
28,GRST,0.0005,1864525,0.141164729,4340000,Infinity,0,PNK,1
29,SNNF,8.569999695,21042520,0.027364004,0,23.16216,0.37,PNK,1
30,ESOA,4.550000191,75797088,0.033583029,12000,21.666668,0.21,NCM,1
31,ALEX,17.21999931,1249075072,0.0150541,300300,26.492308,0.65,NYQ,0
32,GGROU,4.400000095,68158200,0.003304221,0,7.6923075,0.572,PNK,1
33,LUVU,0.090000004,6506554,0.073011088,0,8.5,0.01,PNK,1
